run_tag,number_of_clients_qos0,delay_qos0,number_of_messages_qos0,message_size_qos0,number_of_clients_qos1,delay_qos1,number_of_messages_qos1,message_size_qos1,number_of_clients_qos2,delay_qos2,number_of_messages_qos2,message_size_qos2,cpu,ram,active_window_start,active_window_end,active_window_seconds,throughput_window_bins,sent_throughput_mean,sent_throughput_median,received_throughput_mean,received_throughput_completion_percentage,received_throughput_median,message_loss,malformed_e2e_rows_skipped,cpu_mean_consumption,ram_mean_consumption,cpu_reached_maximum_capacity,ram_reached_maximum_capacity,incoming_throughput_qos0,incoming_throughput_qos1,incoming_throughput_qos2,cpu_factor_compared_to_min,ram_factor_compared_to_min,throughput_reached_maximum_capacity,message_loss_threshold_exceeded
20260614184451_1__C050_D028_M010500_S0750_C1150_D17500_M140_S11000_C2150_D2600_M2500_S2750_CPU8_RAM4g,50,28,10500,750,150,7500,40,1000,150,600,500,750,8,4g,1781456091000,1781456391000,301.0,301,10062.990033222592,10275.0,10062.990033222592,0.9793664265910063,10190.0,1040.0,0,45.1608786900369,11.256439114391144,false,false,8925.000000000002,100.0,1250.0,28.09770078313551,2.3226958305931302,False,False
20260614184451_20__C0100_D057_M05250_S01000_C150_D157_M15250_S1100_C2100_D2100_M23000_S2250_CPU16_RAM8g,100,57,5250,1000,50,57,5250,100,100,100,3000,250,16,8g,1781459862000,1781460179000,318.0,318,15077.647798742139,15751.0,15077.647798742139,0.8307243966249113,15000.0,642808.0,0,8.575750868055556,14.761215277777776,false,false,8766.666666666668,4383.333333333334,5000.0,5.3355667310011485,3.045884478364769,True,True
20260614184451_21__C0150_D057_M05250_S0500_C1150_D142_M17000_S11000_C250_D266_M24500_S2250_CPU2_RAM1g,150,57,5250,500,150,42,7000,1000,50,66,4500,250,2,1g,1781459870000,1781460134000,265.0,265,10722.271698113207,7745.0,10722.271698113207,0.30822196760656,12557.0,7471098.0,0,30.014148936170212,99.58863829787235,false,true,13150.000000000002,17850.0,3787.5,18.673874391532273,20.549492836787497,True,True
20260614184451_22__C0100_D057_M05250_S0100_C150_D12500_M1120_S1100_C2150_D2150_M22000_S2750_CPU16_RAM8g,100,57,5250,100,50,2500,120,100,150,150,2000,750,16,8g,1781459864000,1781460166000,303.0,303,13729.257425742575,13870.0,13729.257425742575,0.990090679741051,13731.0,-4965.0,0,49.014600503663004,6.689120879120879,false,false,8766.666666666668,100.0,5000.0,30.495367205082186,1.380258269811456,False,True
20260614184451_23__C050_D057_M05250_S0750_C1150_D1171_M11750_S11000_C2150_D2300_M21000_S2500_CPU4_RAM2g,50,57,5250,750,150,171,1750,1000,150,300,1000,500,4,2g,1781459866000,1781460168000,303.0,303,11549.96699669967,11315.0,11549.96699669967,1.0259038042960476,12155.0,-124640.0,0,49.87201923076923,39.16260073260073,false,false,4383.333333333334,4375.0,2500.0,31.028826596017435,8.080957797790685,False,True
20260614184451_24__C0150_D042_M07000_S01000_C1100_D157_M15250_S1100_C2150_D2150_M22000_S21000_CPU8_RAM4g,150,42,7000,1000,100,57,5250,100,150,150,2000,1000,8,4g,1781459875000,1781460258000,384.0,365,12413.972602739726,13204.0,12413.972602739726,0.39264014557953797,12435.0,4843900.0,0,19.509463276836158,56.781525423728816,false,false,17850.0,8766.666666666668,5000.0,12.138184142839691,11.716512745829071,True,True
20260614184451_25__C050_D019_M015750_S0100_C1100_D157_M15250_S1750_C2150_D2600_M2500_S2100_CPU2_RAM1g,50,19,15750,100,100,57,5250,750,150,600,500,100,2,1g,1781459880000,1781460191000,312.0,312,21143.13782051282,23246.0,21143.13782051282,0.912489314318122,21708.0,340841.0,0,40.372393617021274,95.65654255319149,false,true,13154.166666666668,8766.666666666668,1250.0,25.118453596437472,19.73812946522297,True,True
20260614184451_26__C0150_D042_M07000_S01000_C1150_D157_M15250_S1500_C2150_D27500_M240_S21000_CPU16_RAM8g,150,42,7000,1000,150,57,5250,500,150,7500,40,1000,16,8g,1781459895000,1781460241000,347.0,343,10435.204081632653,7819.0,10435.204081632653,0.3355371087341689,9820.0,5638225.0,0,10.767518730283912,28.126324921135648,false,false,17850.0,13150.000000000002,100.0,6.699216849539943,5.803691288189678,True,True
20260614184451_27__C050_D014_M021000_S0750_C1100_D128_M110500_S1750_C250_D266_M24500_S21000_CPU4_RAM2g,50,14,21000,750,100,28,10500,750,50,66,4500,1000,4,2g,1781459903000,1781460247000,345.0,337,10943.629080118695,2676.0,10943.629080118695,0.27711236328639866,10938.0,7936997.0,0,35.097924603174604,96.62423809523808,false,true,17854.166666666668,17850.000000000004,3787.5,21.836842245202213,19.937807389827174,True,True
20260614184451_28__C050_D028_M010500_S0100_C150_D114_M121000_S1750_C250_D250_M26000_S2100_CPU16_RAM8g,50,28,10500,100,50,14,21000,750,50,50,6000,100,16,8g,1781462715000,1781463018000,304.0,304,22216.184210526317,13945.0,22216.184210526317,0.6990801377378151,22792.0,2621280.0,0,35.68109489051095,6.633412408759124,false,false,8925.000000000002,17854.166666666668,5000.0,22.199672746168677,1.36876317526841,True,True
